condition,abeta_uM,time_hours,nfkb_mean,nfkb_sem,nfkb_within_cell_std,phagocytosis_mean,n
Medium (0.65),0.65,30,0.9801679999999999,0.008912548209067226,0.010995292680505711,0.19260349999999998,20
Medium (0.65),0.65,31,0.9827859999999999,0.008237598538664681,0.009580146268633218,0.2138985,20
Medium (0.65),0.65,32,0.9855919999999999,0.007275294662146172,0.008483531191126442,0.2108755,20
Medium (0.65),0.65,33,0.9876324999999999,0.006424127336804096,0.007957463910704355,0.2029475,20
Medium (0.65),0.65,34,0.9893190000000001,0.005571183938238279,0.007555869029835079,0.2147865,20
Medium (0.65),0.65,35,0.991155,0.004693696080354671,0.006385058259231725,0.21831,20
Medium (0.65),0.65,36,0.9925689999999999,0.003985190538930221,0.006176317666467984,0.1910615,20
Medium (0.65),0.65,37,0.9938045000000001,0.0033033840284583467,0.005987683310848265,0.2178355,20
Medium (0.65),0.65,38,0.994572,0.002826847472287625,0.005968933983000303,0.22846349999999999,20
Medium (0.65),0.65,39,0.9955925000000001,0.0023566951520028346,0.005401913695675949,0.1883145,20
Medium (0.65),0.65,40,0.9962065000000001,0.0020832309515194003,0.004903254964007042,0.2326635,20
Medium (0.65),0.65,41,0.9968465,0.0018775428055951482,0.004212565276245738,0.221665,20
Medium (0.65),0.65,42,0.9975419999999999,0.0014869117766629408,0.0035249834760211,0.20373449999999999,20
Medium (0.65),0.65,43,0.997539,0.001322277122797518,0.0042648968909330945,0.20949,20
Medium (0.65),0.65,44,0.9981695,0.0010838664889134097,0.003617390308617757,0.21903099999999998,20
Medium (0.65),0.65,45,0.9981915000000001,0.0010923240012396546,0.003063195740192192,0.188049,20
Medium (0.65),0.65,46,0.9984615,0.0010486535916417548,0.0025009432839351925,0.1927875,20
Medium (0.65),0.65,47,0.9986655000000001,0.0008382257185646108,0.002257614990260435,0.232707,20
Medium (0.65),0.65,48,0.9987975,0.000703724256330109,0.002386941610695483,0.225064,20
Medium (0.65),0.65,49,0.9987714999999999,0.0006772200431485342,0.0025398512615946384,0.2141835,20
Medium (0.65),0.65,50,0.99853,0.0007215064649380284,0.0026955234345733443,0.190801,20
Medium (0.65),0.65,51,0.9990525,0.0005369351989716591,0.002148898396849749,0.218276,20
Medium (0.65),0.65,52,0.9988405,0.0005582121248376736,0.002069632050595491,0.19885150000000001,20
Medium (0.65),0.65,53,0.9991185,0.00038354185594685576,0.001867993693699676,0.21100249999999998,20
Medium (0.65),0.65,54,0.9989865,0.0004653918976744805,0.0017259458246373406,0.200961,20
Medium (0.65),0.65,55,0.9991939999999999,0.0004038547159300573,0.001273848892347752,0.202821,20
Medium (0.65),0.65,56,0.999299,0.00029706715526432834,0.0016185122352431775,0.22367150000000002,20
Medium (0.65),0.65,57,0.9990795,0.00037616309102918364,0.0018288344413207533,0.190764,20
Medium (0.65),0.65,58,0.9993624999999999,0.00028512312668112395,0.0013145400719704217,0.17448650000000002,20
Medium (0.65),0.65,59,0.9992635,0.0003421836033784396,0.0014341669986672793,0.20188799999999998,20
Medium (0.65),0.65,60,0.9993460000000001,0.00038216722710573064,0.0010715787603179092,0.212563,20
Medium (0.65),0.65,61,0.9992155,0.00046469258372436095,0.0011005965022319278,0.2354215,20
Medium (0.65),0.65,62,0.9992219999999999,0.0004256577572602099,0.0014477506558949423,0.18333649999999999,20
Medium (0.65),0.65,63,0.9992544999999999,0.0003736346900101074,0.0014373602857948287,0.2161225,20
Medium (0.65),0.65,64,0.9993715,0.00027119935860039186,0.0016968695882041823,0.222419,20
Medium (0.65),0.65,65,0.9994664999999999,0.00025146337496217584,0.0013989725049115324,0.2078625,20
Medium (0.65),0.65,66,0.9991965,0.0002904237149588982,0.0016101782784139888,0.20855700000000002,20
Medium (0.65),0.65,67,0.999227,0.00038136672501329664,0.001507523698435452,0.21383049999999998,20
Medium (0.65),0.65,68,0.9995685,0.00022928294976432435,0.0011158937477958172,0.20031400000000002,20
Medium (0.65),0.65,69,0.9994825,0.00020401222228607756,0.0011544315651509712,0.2093865,20
Medium (0.65),0.65,70,0.9994434999999999,0.0002268714857637054,0.0013713165746826188,0.1995895,20
Medium (0.65),0.65,71,0.9992345,0.00029667585980236644,0.0016676477794193532,0.18127100000000002,20
Medium (0.65),0.65,72,0.999395,0.00024032926974202902,0.0014231296383592682,0.1899885,20
Medium (0.65),0.65,73,0.9992595,0.0002794557445426608,0.0017428187861824418,0.20279750000000002,20
Medium (0.65),0.65,74,0.9993765,0.0002972870976363633,0.0013200739893927615,0.20195349999999998,20
Medium (0.65),0.65,75,0.9992895,0.0002906566748443589,0.0013625110518319145,0.225278,20
Medium (0.65),0.65,76,0.9993865,0.00024398800121489792,0.0012234294383753651,0.2138045,20
Medium (0.65),0.65,77,0.999343,0.0002947577953078359,0.001301673494817256,0.20363799999999999,20
Medium (0.65),0.65,78,0.9993365000000001,0.00031467801003565144,0.0012074150949713013,0.21519249999999998,20
Medium (0.65),0.65,79,0.9994210000000001,0.00021218276630252187,0.0012044534935454698,0.1813935,20
Medium (0.65),0.65,80,0.999598,0.00015668708340275543,0.0009407580599505345,0.211368,20
Medium (0.65),0.65,81,0.9995974999999999,0.00016287204373857157,0.000880242925077537,0.17845899999999998,20
Medium (0.65),0.65,82,0.99943,0.00027427416172413264,0.0011340430093715749,0.20840549999999997,20
Medium (0.65),0.65,83,0.9990539999999999,0.0003507026030548806,0.0016421572811455023,0.1908495,20
Medium (0.65),0.65,84,0.999396,0.00022119579324066558,0.0012926742904368431,0.223555,20
Medium (0.65),0.65,85,0.9996790000000001,0.00012753100758144115,0.0008075777503743215,0.215739,20
Medium (0.65),0.65,86,0.9994109999999999,0.00022269036800005374,0.0010152759914996488,0.210571,20
Medium (0.65),0.65,87,0.9993055,0.00026498805832080507,0.0013399992827029601,0.2307435,20
Medium (0.65),0.65,88,0.9993719999999999,0.00031664158718785654,0.0012430070181954193,0.21815349999999997,20
Medium (0.65),0.65,89,0.9992515,0.0004372974869642718,0.001210118026797028,0.2106315,20
Medium (0.65),0.65,90,0.9993065,0.0004020004418693541,0.0011770767941364322,0.22013699999999997,20
Medium (0.65),0.65,91,0.999233,0.0003742642607063992,0.0012256380778656174,0.2234975,20
Medium (0.65),0.65,92,0.9992955,0.0003236132153634819,0.001218189952395838,0.2235395,20
Medium (0.65),0.65,93,0.9994350000000001,0.0001935315831697998,0.0011420976102811437,0.21303,20
Medium (0.65),0.65,94,0.9996695000000001,0.0001392885588681901,0.0009092964397240382,0.2057995,20
Medium (0.65),0.65,95,0.9990505000000001,0.0003700792767132857,0.0017864222291595025,0.19349449999999999,20
Medium (0.65),0.65,96,0.999307,0.00024626376531122345,0.0014619085610214117,0.23948550000000002,20
Medium (0.65),0.65,97,0.9991045,0.00036861652802993385,0.0016648254786301622,0.21313200000000002,20
Medium (0.65),0.65,98,0.9991199999999999,0.00039001147081646335,0.0012502814502725226,0.219045,20
Medium (0.65),0.65,99,0.9993245,0.00020131472479938825,0.001747595995034465,0.19841999999999999,20
Medium (0.65),0.65,100,0.999244,0.0003219238223064888,0.0016128289790694073,0.216304,20
