cell_id,step,x,y,replicate
21,15,8,174,0
22,15,30,109,0
23,15,186,180,0
24,15,33,173,0
25,15,138,57,0
26,15,77,113,0
27,15,189,25,0
28,15,61,152,0
29,15,122,67,0
30,15,133,135,0
31,15,37,46,0
32,15,192,179,0
33,15,138,166,0
34,15,127,115,0
35,15,93,16,0
36,15,151,193,0
37,15,141,22,0
38,15,39,140,0
39,15,65,108,0
40,15,40,27,0
41,15,29,181,0
42,15,100,100,0
43,15,69,166,0
44,15,100,101,0
45,15,47,150,0
46,15,39,87,0
47,15,87,191,0
48,15,47,71,0
49,15,59,157,0
0,16,180,167,0
1,16,94,67,0
2,16,130,65,0
3,16,175,83,0
4,16,192,54,0
5,16,165,63,0
6,16,111,117,0
7,16,184,184,0
8,16,168,129,0
9,16,57,26,0
10,16,138,27,0
11,16,65,183,0
12,16,133,179,0
13,16,80,92,0
14,16,64,161,0
15,16,152,189,0
16,16,33,168,0
17,16,147,142,0
18,16,99,101,0
19,16,142,126,0
20,16,12,181,0
21,16,8,174,0
22,16,30,109,0
23,16,186,180,0
24,16,33,173,0
25,16,138,57,0
26,16,77,113,0
27,16,189,25,0
28,16,61,152,0
29,16,122,67,0
30,16,133,135,0
31,16,37,46,0
32,16,192,179,0
33,16,138,166,0
34,16,127,115,0
35,16,93,16,0
36,16,151,193,0
37,16,141,22,0
38,16,39,140,0
39,16,65,108,0
40,16,40,27,0
41,16,29,181,0
42,16,100,100,0
43,16,69,166,0
44,16,100,99,0
45,16,47,150,0
46,16,39,87,0
47,16,87,191,0
48,16,47,71,0
49,16,59,157,0
0,17,180,167,0
1,17,94,67,0
2,17,130,65,0
3,17,175,83,0
4,17,192,54,0
5,17,165,63,0
6,17,111,117,0
7,17,184,184,0
8,17,168,129,0
9,17,57,26,0
10,17,138,27,0
11,17,65,183,0
12,17,133,179,0
13,17,80,92,0
14,17,64,161,0
15,17,152,189,0
16,17,33,168,0
17,17,147,142,0
18,17,101,99,0
19,17,142,126,0
20,17,12,181,0
21,17,8,174,0
22,17,30,109,0
23,17,186,180,0
24,17,33,173,0
25,17,138,57,0
26,17,77,113,0
27,17,189,25,0
28,17,61,152,0
29,17,122,67,0
30,17,133,135,0
31,17,37,46,0
32,17,192,179,0
33,17,138,166,0
34,17,127,115,0
35,17,93,16,0
36,17,151,193,0
37,17,141,22,0
38,17,39,140,0
39,17,65,108,0
40,17,40,27,0
41,17,29,181,0
42,17,100,100,0
43,17,69,166,0
44,17,100,101,0
45,17,47,150,0
46,17,39,87,0
47,17,87,191,0
48,17,47,71,0
49,17,59,157,0
0,18,180,167,0
1,18,94,67,0
2,18,130,65,0
3,18,175,83,0
4,18,192,54,0
5,18,165,63,0
6,18,111,117,0
7,18,184,184,0
8,18,168,129,0
9,18,57,26,0
10,18,138,27,0
11,18,65,183,0
12,18,133,179,0
13,18,80,92,0
14,18,64,161,0
15,18,152,189,0
16,18,33,168,0
17,18,147,142,0
18,18,99,101,0
19,18,142,126,0
20,18,12,181,0
21,18,8,174,0
22,18,30,109,0
23,18,186,180,0
24,18,33,173,0
25,18,138,57,0
26,18,77,113,0
27,18,189,25,0
28,18,61,152,0
29,18,122,67,0
30,18,133,135,0
31,18,37,46,0
