mode,step,grand_mean,grand_sem
random_walk,19,74.99124316141886,1.1103420398861041
random_walk,20,75.04083889975803,1.1050370432495715
random_walk,21,75.08749549554706,1.0920684858042937
random_walk,22,75.08914770490824,1.08803392786038
random_walk,23,75.10367203529975,1.0865091854568747
random_walk,24,75.17218000062067,1.0663024781808879
random_walk,25,75.14580425460227,1.0668752880829515
random_walk,26,75.15573769254406,1.0741271185917953
random_walk,27,75.10023408491168,1.0606693352614491
random_walk,28,75.18242352722788,1.0576165671012636
random_walk,29,75.2117711035397,1.0561143578382801
random_walk,30,75.23063135880938,1.065707025195963
random_walk,31,75.22374477378375,1.071416721321043
random_walk,32,75.2282439139354,1.0433132089839887
random_walk,33,75.174643462062,1.0617728347476303
random_walk,34,75.18049923942063,1.0545904011875098
random_walk,35,75.20797042687693,1.0465456236345374
random_walk,36,75.10558127231741,1.0650391490211326
random_walk,37,75.13538334911071,1.0582246877189405
random_walk,38,75.13360230856473,1.0699809302889616
random_walk,39,75.15577850046277,1.0465821940513862
random_walk,40,75.17165072291866,1.0428555184180608
random_walk,41,75.19329585401906,1.0428951389507253
random_walk,42,75.26557702806977,1.0591907279951531
random_walk,43,75.25222251690907,1.062316092267735
random_walk,44,75.16492210663714,1.0672811878862787
random_walk,45,75.1367043188666,1.0714201665245198
random_walk,46,75.2738765686491,1.0689283615233183
random_walk,47,75.29143565643005,1.0786848310977617
random_walk,48,75.30925236981341,1.0717439279416996
random_walk,49,75.24656317829461,1.072457617481977
random_walk,50,75.2496139865212,1.0706331909024935
random_walk,51,75.18297131151168,1.0695180252850076
random_walk,52,75.21846542588642,1.0538315106278475
random_walk,53,75.1896126549742,1.0447693731791667
random_walk,54,75.15209785413438,1.0408814084576412
random_walk,55,75.17879342704236,1.018236757169485
random_walk,56,75.15655512381646,1.0306886962982253
random_walk,57,75.19502410027107,1.0325266516467464
random_walk,58,75.23358968175044,1.007761536987988
random_walk,59,75.17707645080546,1.0031229117512364
random_walk,60,75.14175471267004,0.9972529880257555
